Nombre;Simbolo;ValorUSD
Bitcoin;BTC;60738.60
Ethereum;ETH;3383.08
Tether;USDT;1.00
Dogecoin;DOGE;0.12
Cardano;ADA;0.39
Ripple;XRP;0.47 
Litecoin;LTC;73.39
Dash;DASH;24.73 
Constellation;DAG;0.034
Safemoon;SFM;0.000032
